Water plant mk1: RUN
Date Time Aloe Palm
2019-02-21 18:07:42.697343 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-21 18:08:53.189760 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-21 18:09:10.936283 0 0
2019-02-21 18:24:11.015395 0 0
2019-02-21 18:39:11.115739 0 0
2019-02-21 18:54:11.216089 0 0
2019-02-21 19:09:11.265396 0 0
2019-02-21 19:24:11.365770 0 0
2019-02-21 19:39:11.416335 0 0
2019-02-21 19:54:11.515403 0 0
2019-02-21 20:09:11.517694 0 0
2019-02-21 20:24:11.618029 0 0
2019-02-21 20:39:11.645401 0 0
2019-02-21 20:54:11.725394 0 0
2019-02-21 21:09:11.765428 0 0
2019-02-21 21:24:11.865783 0 0
2019-02-21 21:39:11.966104 0 0
2019-02-21 21:54:12.015408 0 0
2019-02-21 22:09:12.062289 0 0
2019-02-21 22:24:12.162633 0 0
2019-02-21 22:39:12.262960 0 0
2019-02-21 22:54:12.265413 0 0
2019-02-21 23:09:12.285394 0 0
2019-02-21 23:24:12.385742 0 0
2019-02-21 23:39:12.486073 0 0
2019-02-21 23:54:12.515412 0 0
2019-02-22 00:09:12.613288 0 0
2019-02-22 00:24:12.713628 0 0
2019-02-22 00:39:12.765422 0 0
2019-02-22 00:54:12.865769 0 0
2019-02-22 01:09:12.966102 0 0
2019-02-22 01:24:13.027134 0 0
2019-02-22 01:39:13.085412 0 0
2019-02-22 01:54:13.185755 0 0
2019-02-22 02:09:13.245397 0 0
2019-02-22 02:24:13.265398 0 0
2019-02-22 02:39:13.324897 0 0
2019-02-22 02:54:13.425232 0 0
2019-02-22 03:09:13.515402 0 0
2019-02-22 03:24:13.562140 0 0
2019-02-22 03:39:13.662475 0 0
2019-02-22 03:54:13.762868 0 0
2019-02-22 04:09:13.790999 0 0
2019-02-22 04:24:13.891307 0 0
2019-02-22 04:39:13.991662 0 0
2019-02-22 04:54:14.015399 0 0
2019-02-22 05:09:14.045429 0 0
2019-02-22 05:24:14.145778 0 0
2019-02-22 05:39:14.246123 0 0
2019-02-22 05:54:14.265401 0 0
2019-02-22 06:09:14.365759 0 0
2019-02-22 06:24:14.466111 0 0
2019-02-22 06:39:14.515409 0 0
2019-02-22 06:54:14.545416 0 0
2019-02-22 07:09:14.645776 0 0
2019-02-22 07:24:14.685421 0 0
2019-02-22 07:39:14.765403 0 0
2019-02-22 07:54:14.865735 0 0
2019-02-22 08:09:14.966107 0 0
2019-02-22 08:24:15.015400 0 0
2019-02-22 08:39:15.085406 0 0
2019-02-22 08:54:15.185752 0 0
2019-02-22 09:09:15.265401 0 0
2019-02-22 09:24:15.365747 0 0
2019-02-22 09:39:15.466086 0 0
2019-02-22 09:54:15.515388 0 0
2019-02-22 10:09:15.615716 0 0
2019-02-22 10:24:15.645430 0 0
2019-02-22 10:39:15.725400 0 0
2019-02-22 10:54:15.765399 0 0
2019-02-22 11:09:15.865757 0 0
2019-02-22 11:24:15.966094 0 0
2019-02-22 11:39:16.015394 0 0
2019-02-22 11:54:16.045393 0 0
2019-02-22 12:09:16.125435 0 0
2019-02-22 12:24:16.225744 0 0
2019-02-22 12:39:16.265435 0 0
2019-02-22 12:54:16.285399 0 0
2019-02-22 13:09:16.375401 0 0
2019-02-22 13:24:16.475731 0 0
2019-02-22 13:39:16.515392 0 0
2019-02-22 13:54:16.615747 0 0
2019-02-22 14:09:16.716107 0 0
2019-02-22 14:24:16.765391 0 0
2019-02-22 14:39:16.865721 0 0
2019-02-22 14:54:16.966079 0 0
2019-02-22 15:09:17.015394 0 0
2019-02-22 15:24:17.115792 0 0
2019-02-22 15:39:17.216127 0 0
2019-02-22 15:54:17.235418 0 0
2019-02-22 16:09:17.265411 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-22 16:22:19.896992 0 0
2019-02-22 16:37:19.997457 0 0
2019-02-22 16:52:20.097772 0 0
2019-02-22 17:07:20.198095 0 0
2019-02-22 17:22:20.298420 0 0
2019-02-22 17:37:20.398737 0 0
2019-02-22 17:52:20.499055 0 0
2019-02-22 18:07:20.599381 0 0
2019-02-22 18:22:20.699709 0 0
2019-02-22 18:37:20.800003 0 0
2019-02-22 18:52:20.900324 0 0
2019-02-22 19:07:20.925401 0 0
2019-02-22 19:22:21.025729 0 0
2019-02-22 19:37:21.126045 0 0
2019-02-22 19:52:21.226374 0 0
2019-02-22 20:07:21.326695 0 0
2019-02-22 20:22:21.427009 0 0
2019-02-22 20:37:21.527332 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-22 20:49:30.753418 0 0
2019-02-22 21:04:30.853799 0 0
2019-02-22 21:19:30.925402 0 0
2019-02-22 21:34:31.025704 0 0
2019-02-22 21:49:31.126012 0 0
2019-02-22 22:04:31.226337 0 0
2019-02-22 22:19:31.326663 0 0
2019-02-22 22:34:31.427005 0 1
notification mail sent
2019-02-22 22:49:32.188816 0 1
2019-02-22 23:04:32.289143 0 1
2019-02-22 23:19:32.389476 0 1
2019-02-22 23:34:32.489810 0 1
2019-02-22 23:49:32.590098 0 1
2019-02-23 00:04:32.690417 0 1
2019-02-23 00:19:32.790731 0 1
2019-02-23 00:34:32.891059 0 1
2019-02-23 00:49:32.925414 0 1
2019-02-23 01:04:33.025749 0 1
2019-02-23 01:19:33.126079 0 1
2019-02-23 01:34:33.226413 0 1
2019-02-23 01:49:33.326729 0 1
2019-02-23 02:04:33.427067 0 1
2019-02-23 02:19:33.527396 0 1
2019-02-23 02:34:33.627732 0 1
2019-02-23 02:49:33.728063 0 1
2019-02-23 03:04:33.828406 0 1
2019-02-23 03:19:33.928743 0 1
2019-02-23 03:34:33.965385 0 1
2019-02-23 03:49:34.065666 0 1
2019-02-23 04:04:34.166008 0 1
2019-02-23 04:19:34.266346 0 1
2019-02-23 04:34:34.366690 0 1
2019-02-23 04:49:34.467017 0 1
2019-02-23 05:04:34.567334 0 1
2019-02-23 05:19:34.667643 0 1
2019-02-23 05:34:34.767944 0 1
2019-02-23 05:49:34.868273 0 1
2019-02-23 06:04:34.925403 0 1
2019-02-23 06:19:35.025735 0 1
2019-02-23 06:34:35.126086 0 1
2019-02-23 06:49:35.226420 0 1
2019-02-23 07:04:35.256821 0 1
2019-02-23 07:19:35.357134 0 1
2019-02-23 07:34:35.457481 0 1
2019-02-23 07:49:35.557821 0 1
2019-02-23 08:04:35.658166 0 1
2019-02-23 08:19:35.758514 0 1
2019-02-23 08:34:35.858848 0 1
2019-02-23 08:49:35.959183 0 1
2019-02-23 09:04:36.059538 0 0
2019-02-23 09:19:36.159872 0 0
2019-02-23 09:34:36.260215 0 0
2019-02-23 09:49:36.360572 0 0
2019-02-23 10:04:36.460909 0 0
2019-02-23 10:19:36.561246 0 0
2019-02-23 10:34:36.661580 0 0
2019-02-23 10:49:36.761917 0 0
2019-02-23 11:04:36.862629 0 0
2019-02-23 11:19:36.962982 0 0
2019-02-23 11:34:37.061953 0 0
2019-02-23 11:49:37.162291 0 0
2019-02-23 12:04:37.262366 0 0
2019-02-23 12:19:37.362706 0 0
2019-02-23 12:34:37.462944 0 0
2019-02-23 12:49:37.563264 0 0
2019-02-23 13:04:37.663478 0 0
2019-02-23 13:19:37.763835 0 0
2019-02-23 13:34:37.864063 0 0
2019-02-23 13:49:37.964408 0 0
2019-02-23 14:04:38.064743 0 0
2019-02-23 14:19:38.165092 0 0
2019-02-23 14:34:38.265352 0 0
2019-02-23 14:49:38.365668 0 0
2019-02-23 15:04:38.465860 0 0
2019-02-23 15:19:38.566191 0 0
2019-02-23 15:34:38.666430 0 0
2019-02-23 15:49:38.766762 0 0
2019-02-23 16:04:38.866976 0 0
2019-02-23 16:19:38.967321 0 0
2019-02-23 16:34:39.067492 0 0
2019-02-23 16:49:39.167843 0 0
2019-02-23 17:04:39.268020 0 0
2019-02-23 17:19:39.368346 0 0
2019-02-23 17:34:39.468572 0 0
2019-02-23 17:49:39.568921 0 0
2019-02-23 18:04:39.669209 0 0
2019-02-23 18:19:39.769555 0 0
2019-02-23 18:34:39.869803 0 0
2019-02-23 18:49:39.970120 0 0
2019-02-23 19:04:40.070409 0 0
2019-02-23 19:19:40.170720 0 0
2019-02-23 19:34:40.270931 0 0
2019-02-23 19:49:40.371250 0 0
2019-02-23 20:04:40.471402 0 0
2019-02-23 20:19:40.571717 0 0
2019-02-23 20:34:40.671892 0 0
2019-02-23 20:49:40.772207 0 0
2019-02-23 21:04:40.872420 0 0
2019-02-23 21:19:40.972734 0 0
2019-02-23 21:34:41.072827 0 0
2019-02-23 21:49:41.173131 0 0
2019-02-23 22:04:41.273369 0 0
2019-02-23 22:19:41.373659 0 0
2019-02-23 22:34:41.473727 0 0
2019-02-23 22:49:41.574031 0 0
2019-02-23 23:04:41.674210 0 0
2019-02-23 23:19:41.774522 0 0
2019-02-23 23:34:41.874719 0 0
2019-02-23 23:49:41.975055 0 0
2019-02-24 00:04:42.075237 0 0
2019-02-24 00:19:42.175587 0 0
2019-02-24 00:34:42.275751 0 0
2019-02-24 00:49:42.376067 0 0
2019-02-24 01:04:42.476279 0 0
2019-02-24 01:19:42.576593 0 0
2019-02-24 01:34:42.676789 0 0
2019-02-24 01:49:42.777104 0 0
2019-02-24 02:04:42.877264 0 0
